id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date
20081,9,"110,000",peryear,"Chicago, IL, US",Project Architect,Starchitect,101-200 People,Yes,Unpaid Overtime,,"5,000",Full-time,16-20,41-45,Male,Licensed,,,,Sep '24
20080,7,"70,000",peryear,"San Francisco, CA, US",Designer,,6-10 People,Yes,Unpaid Overtime,14.0,"2,000",Full-time,3,26-30,Female,No,,Grad:The University of Texas at Austin,,Sep '24
20079,10,"110,000",peryear,"Nashville, TN, US",Principal,Corporate,16-30 People,Yes,No Overtime,,"50,000",Full-time,21-25,46-50,Male,Licensed,,,,Sep '24
20078,8,"110,000",peryear,"Los Angeles, CA, US",Associate,Boutique,6-10 People,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,Licensed,UG:The University of Texas at Austin,,,Sep '24
20077,6,"66,000",peryear,"Los Angeles, CA, US",Intermediate Architect,,51-100 People,,,,,,3-5,21-25,Female,No,,,,Sep '24
20076,1,"77,800",peryear,"Kansas City, MO, US",Project Architect,Boutique,2-5 People,Yes,Unpaid Overtime,,"1,500",Full-time,8-10,31-35,Female,Licensed,,,,Sep '24
20075,6,"100,000",peryear,"Charleston, SC, US",Project Manager,Corporate,101-200 People,Yes,Unpaid Overtime,15.0,"10,000",Full-time,11-15,31-35,Male,Licensed,UG:Savannah College of Art and Design,Grad:Savannah College of Art and Design,,Sep '24
20074,9,"75,000",peryear,"New York, NY, US",Interior Designer,Boutique,2-5 People,,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,,,,Sep '24
20073,7,"70,500",peryear,"Philadelphia, PA, US",Junior Designer,Individual,6-10 People,Yes,No Overtime,15.0,"2,000",Full-time,3-5,26-30,Male,No,UG:Marywood University,,,Sep '24
20071,6,"100,000",peryear,"Austin, TX, US",Project Architect,Boutique,16-30 People,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,,,,Sep '24
20070,6,"78,000",peryear,"San Francisco, CA, US",Designer,,16-30 People,Yes,,,,,3-5,26-30,Female,Licensed,"UG:California Polytechnic State University, San Luis Obispo",,,Sep '24
20069,8,"78,000",peryear,"New York, NY, US",Junior Designer,Boutique,16-30 People,Yes,,17.0,"4,000",Full-time,3,26-30,Female,No,,,,Sep '24
20064,8,"85,000",peryear,"Reston, VA, US",Project Manager,Other,51-100 People,Yes,Unpaid Overtime,20.0,,Full-time,8-10,36-40,Male,No,,,,Sep '24
20063,8,"74,000",peryear,"Los Angeles, CA, US",Associate,Corporate,201-500 People,Yes,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,UG:UCLA Extension / Cal Poly Pomona,,,Sep '24
20062,8,"115,000",peryear,"New York, NY, US",Project Architect,,101-200 People,Yes,,,,,11-15,41-45,Male,Licensed,,,,Sep '24
20061,9,"100,000",peryear,"Princeton, NJ, US",Project Architect,Other,11-15 People,,,20.0,"4,000",Full-time,11-15,36-40,Male,Licensed,UG:Rhode Island School of Design (RISD),,,Sep '24
20060,7,"98,000",peryear,"New York, NY, US",Senior Designer,Other,201-500 People,Yes,Paid Overtime,30.0,,Full-time,8-10,36-40,Female,No,,Grad:Columbia University,,Sep '24
20059,7,"102,000",peryear,"Saint Louis, MO, US",Associate,Corporate,101-200 People,Yes,Unpaid Overtime,20.0,"4,000",Full-time,11-15,31-35,Male,Licensed,,Grad:Kansas State University,,Sep '24
20058,9,"92,000",peryear,"Boston, MA, US",Project Manager,Individual,11-15 People,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Female,Licensed,,,,Aug '24
20057,10,"66,000",peryear,"Allen, TX, US",Job Captain,Individual,31-50 People,Yes,Paid Overtime,14.0,"4,000",Full-time,3,31-35,Female,No,,,,Aug '24
20055,4,"130,000",peryear,"Kansas City, MO, US",Senior Architect,Corporate,501 + People,,Paid Overtime,25.0,"40,000",Full-time,21-25,46-50,Male,Licensed,,,,Aug '24
20054,8,20,perhour,"Philadelphia, PA, US",Junior Architect,Individual,11-15 People,Yes,Paid Overtime,,,Full-time,< 1,21-25,Female,No,UG:Temple University,Grad:Temple University,,Aug '24
20050,5,24,perhour,"Waukesha, WI, US",Associate,,6-10 People,,Paid Overtime,,,Full-time,2,21-25,Female,No,UG:University of Wisconsin-Milwaukee,,,Aug '24
20049,8,"200,000",peryear,"Boulder, CO, US",Senior Architect,Boutique,2-5 People,,Unpaid Overtime,,,Full-time,26-30,46-50,Male,Licensed,UG:University of Oregon,,,Aug '24
20047,5,"78,000",peryear,"New York, NY, US",Intermediate Architect,Boutique,16-30 People,Yes,No Overtime,20.0,,Full-time,6-7,31-35,Male,Licensed,UG:University of Arkansas,,,Aug '24
20046,1,"122,000",peryear,"Houston, TX, US",Project Architect,Corporate,501 + People,Yes,No Overtime,21.0,"4,000",Full-time,8-10,31-35,Male,No,UG:University of Houston,,,Aug '24
20045,8,"87,000",peryear,"Houston, TX, US",Project Architect,Corporate,501 + People,Yes,No Overtime,21.0,"10,000",Full-time,8-10,26-30,Male,No,UG:Texas A&M University,Grad:University of Houston,,Aug '24
20043,8,"65,000",peryear,"Boston, MA, US",Designer,Corporate,31-50 People,Yes,,,"5,000",,6-7,26-30,Female,No,,,,Aug '24
20042,10,"70,000",peryear,"Boston, MA, US",Designer,Other,16-30 People,Yes,,15.0,,Full-time,2,21-25,Female,No,,,,Aug '24
20041,8,"63,000",peryear,"Boston, MA, US",Junior Architect,Corporate,31-50 People,Yes,Unpaid Overtime,36.0,"10,000",Full-time,2,21-25,Male,No,UG:Syracuse University,,,Aug '24
20039,6,"74,000",peryear,"Seattle, WA, US",Intermediate Designer,Boutique,6-10 People,Yes,Unpaid Overtime,15.0,"1,500",Full-time,6-7,26-30,Female,No,UG:Massachussets College of Art and Design,Grad:Tulane University,,Aug '24
20038,8,"78,000",peryear,"Florida, US",Designer,,201-500 People,Yes,,,,,6-7,31-35,Female,No,,,,Aug '24
20036,8,31,perhour,"Washington, DC, US",Designer,,6-10 People,,Paid Overtime,10.0,,Full-time,3-5,26-30,Female,No,,,,Aug '24
20033,8,"64,000",peryear,"Chicago, IL, US",Junior Architect,Corporate,501 + People,Yes,No Overtime,17.0,,Full-time,1,21-25,Male,No,,Grad:School of the Art Institute of Chicago,,Aug '24
20031,8,"72,000",peryear,"Boston, MA, US",Designer,Corporate,31-50 People,Yes,Unpaid Overtime,25.0,"3,000",Full-time,3-5,26-30,Female,No,,Grad:Rhode Island School of Design (RISD),,Aug '24
20030,10,"65,000",peryear,"Glens Falls, NY, US",Designer,Boutique,16-30 People,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Male,No,UG:University at Buffalo,Grad:University at Buffalo,,Aug '24
20029,8,"148,000",peryear,"Irvine, CA, US",Senior Architect,Corporate,201-500 People,Yes,No Overtime,,"25,000",Full-time,21-25,41-45,Male,Licensed,,,,Aug '24
20028,5,"102,000",peryear,"New York, NY, US",Project Architect,Starchitect,31-50 People,Yes,Unpaid Overtime,,,Full-time,8-10,31-35,Male,Licensed,,,,Aug '24
20027,5,"94,000",peryear,"Oak Brook, IL, US",Job Captain,Corporate,101-200 People,,Unpaid Overtime,21.0,"6,000",Full-time,16-20,41-45,Male,No,UG:The University of Kansas,,,Aug '24
20026,7,"135,000",peryear,"New York, NY, US",Project Manager,Other,501 + People,Yes,No Overtime,21.0,,Full-time,11-15,36-40,Male,No,UG:The Catholic University of America,Grad:Northeastern University,,Aug '24
20025,7,"55,000",peryear,"Boston, MA, US",Job Captain,Individual,6-10 People,,,,,Full-time,2,26-30,Female,No,UG:Sheridan College,Grad:Boston Architectural College (BAC),,Aug '24
20024,7,"100,000",peryear,"Fargo, ND, US",Senior Architect,Individual,6-10 People,Yes,,20.0,,Full-time,11-15,36-40,Female,Licensed,,,,Aug '24
20023,5,"90,000",peryear,"Boca Raton, FL, US",Project Manager,Corporate,31-50 People,Yes,No Overtime,20.0,,Full-time,8-10,41-45,Female,Licensed,,,,Aug '24
20022,9,"52,000",peryear,"Chicago, IL, US",Associate,Corporate,101-200 People,Yes,,16.0,,Full-time,1,21-25,Female,No,UG:University of Kentucky,Grad:School of the Art Institute of Chicago,,Aug '24
20021,5,"68,000",peryear,"Greenville, SC, US",Project Architect,Other,31-50 People,,Unpaid Overtime,14.0,"5,000",Full-time,8-10,31-35,Female,Licensed,,,,Aug '24
20020,7,"54,000",peryear,"Cookeville, TN, US",Senior Designer,Other,11-15 People,,Paid Overtime,12.0,"1,600",Full-time,3-5,26-30,Male,No,,,,Aug '24
20019,4,"73,009",peryear,"New York, NY, US",Project Manager,Boutique,11-15 People,Yes,Unpaid Overtime,12.0,,Full-time,3-5,26-30,Female,No,,Grad:Pratt Institute,,Aug '24
20017,4,"475,000",peryear,"New York, NY, US",Owner,Individual,1 People,,Paid Overtime,,,Full-time,16-20,46-50,Male,Licensed,UG:Columbia University,Grad:University of Illinois Chicago,,Aug '24
20016,7,"65,000",peryear,"Dallas, TX, US",Project Architect,Boutique,2-5 People,Yes,No Overtime,,,,8-10,31-35,Male,Licensed,,,,Aug '24
20015,7,"85,000",peryear,"Detroit, MI, US",Senior Architect,Other,16-30 People,Yes,Unpaid Overtime,25.0,,Full-time,8-10,36-40,Female,Licensed,,,,Aug '24
20014,1,"93,000",peryear,"New York, NY, US",Associate,Corporate,501 + People,Yes,Unpaid Overtime,27.0,,Full-time,6-7,31-35,Female,No,,,,Aug '24
20013,3,"55,000",peryear,"Boulder, CO, US",Designer,,6-10 People,Yes,Unpaid Overtime,10.0,400,Full-time,< 1,21-25,Male,No,UG:University of Colorado at Boulder,,,Aug '24
20012,7,"125,000",peryear,"Atlanta, GA, US",Technical Architect,Other,16-30 People,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,Licensed,UG:Auburn University,,,Aug '24
20011,4,"57,000",peryear,"Boulder, CO, US",Designer,Other,16-30 People,Yes,Unpaid Overtime,10.0,"1,000",Full-time,2,26-30,Female,No,,,,Aug '24
20009,8,"60,000",peryear,"King City, CA, US",Intermediate Architect,Other,11-15 People,,Paid Overtime,15.0,,Full-time,< 1,21-25,Male,No,UG:Hartnell College,Grad:Academy Of Art University,,Aug '24
20008,7,"75,000",peryear,"Chicago, IL, US",Designer,Corporate,11-15 People,Yes,Unpaid Overtime,10.0,"8,000",Full-time,6-7,31-35,Male,No,,,,Jul '24
20006,4,"95,000",peryear,"Tampa, FL, US",Project Manager,Corporate,31-50 People,Yes,Unpaid Overtime,15.0,"4,000",Full-time,8-10,31-35,Male,No,,,,Jul '24
20005,7,"104,000",peryear,"San Diego, CA, US",Associate,Boutique,2-5 People,Yes,Unpaid Overtime,15.0,"20,000",Full-time,11-15,31-35,Female,Licensed,UG:Portland State University,Grad:NewSchool of Architecture & Design,,Jul '24
20004,2,"69,680",peryear,"New Haven, CT, US",Designer,Starchitect,101-200 People,Yes,Paid Overtime,18.0,"4,000",,3,26-30,Male,No,,,,Jul '24
20003,10,56,perhour,"Basalt, CO, US",Project Manager,Boutique,2-5 People,,Unpaid Overtime,20.0,"5,000",Full-time,31-40,56-60,Male,No,UG:Pontificia Universidad Católica de Chile,,,Jul '24
20002,8,"85,000",peryear,"Grand Junction, CO, US",Project Architect,Other,11-15 People,Yes,Unpaid Overtime,10.0,"1,500",Full-time,21-25,46-50,Male,Licensed,,,,Jul '24
20001,7,"130,000",peryear,"Boston, MA, US",Project Architect,Boutique,16-30 People,Yes,Unpaid Overtime,20.0,"3,000",Full-time,8-10,36-40,Male,Licensed,UG:Rice University,Grad:Rice University,,Jul '24
20000,10,"137,500",peryear,"Overland Park, KS, US",Project Manager,Corporate,201-500 People,Yes,Unpaid Overtime,25.0,"10,000",Full-time,31-40,56-60,Male,Licensed,UG:Kansas State University,,,Jul '24
19998,8,"73,000",peryear,"Eugene, OR, US",Project Architect,Boutique,16-30 People,Yes,No Overtime,10.0,"3,000",Full-time,3-5,26-30,Female,Licensed,UG:University of Oregon,,,Jul '24
19997,9,"105,000",peryear,"Boston, MA, US",Job Captain,Other,11-15 People,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,No,UG:Boston Architectural College (BAC),,,Jul '24
19996,7,"97,000",peryear,"New York, NY, US",Intermediate Architect,Boutique,2-5 People,,No Overtime,14.0,"2,000",Full-time,3-5,26-30,Male,Licensed,UG:Auburn University,,,Jul '24
19995,8,36,perhour,"San Francisco, CA, US",Project Manager,,6-10 People,Yes,Paid Overtime,15.0,"1,000",Full-time,3-5,26-30,Male,No,,,,Jul '24
19994,7,"120,000",peryear,"San Francisco, CA, US",Project Architect,Corporate,501 + People,Yes,,15.0,"5,000",,6-7,31-35,Female,No,,Grad:University of Illinois at Urbana-Champaign,,Jul '24
19992,10,"127,000",peryear,"Newark, NJ, US",Job Captain,Individual,2-5 People,,No Overtime,28.0,,Freelance,16-20,36-40,Male,No,UG:Academy Of Art University,,,Jul '24
19991,4,"84,000",peryear,"Seattle, WA, US",Junior Architect,Corporate,201-500 People,Yes,Unpaid Overtime,16.0,"3,000",Full-time,3-5,26-30,Male,Licensed,,,,Jul '24
19990,2,"75,000",peryear,"New York, NY, US",Junior Designer,Boutique,6-10 People,,Unpaid Overtime,15.0,"1,000",Full-time,2,21-25,Female,No,UG:University of Minnesota,Grad:Pratt Institute,,Jul '24
19989,7,"76,000",peryear,"Chattanooga, TN, US",Project Architect,Boutique,2-5 People,Yes,No Overtime,20.0,,Full-time,8-10,31-35,Male,Licensed,UG:The Ohio State University,,,Jul '24
19988,9,"125,000",peryear,"Columbus, OH, US",Project Manager,Corporate,501 + People,Yes,Paid Overtime,15.0,"125,000",Full-time,11-15,36-40,Female,Licensed,UG:University of Cincinnati,Grad:University of Cincinnati,,Jul '24
19987,9,"68,000",peryear,"Dearborn, MI, US",Intermediate Architect,Corporate,201-500 People,Yes,No Overtime,15.0,"4,500",Full-time,3,26-30,Female,No,UG:Adrian College,Grad:University of Michigan,,Jul '24
19985,10,"103,000",peryear,"Pittsburgh, PA, US",Principal,Corporate,16-30 People,Yes,Unpaid Overtime,25.0,"10,000",Full-time,16-20,41-45,Male,Licensed,UG:Kent State University,Grad:Kent State University,,Jul '24
19984,7,"77,000",peryear,"Dallas, TX, US",Senior Architect,,6-10 People,,Unpaid Overtime,,"3,000",Full-time,8-10,31-35,Gender: Other,Licensed,,,,Jul '24
19983,8,"116,000",peryear,"San Francisco, CA, US",Project Architect,Corporate,101-200 People,Yes,Unpaid Overtime,15.0,"6,000",Full-time,11-15,31-35,Male,Licensed,,,,Jul '24
19982,7,"65,000",peryear,"Austin, TX, US",Designer,,16-30 People,,,,,,3,31-35,Male,No,,,,Jul '24
19981,8,"115,000",peryear,"New York, NY, US",Senior Architect,Starchitect,16-30 People,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,No,,Grad:Washington University in St. Louis,,Jul '24
19980,6,"77,000",peryear,"Washington, DC, US",Junior Architect,Corporate,501 + People,Yes,Paid Overtime,18.0,"10,000",Full-time,3,26-30,Male,Licensed,,Grad:Yale University,,Jul '24
19978,7,"87,000",peryear,"Los Angeles, CA, US",Project Architect,Boutique,2-5 People,,No Overtime,10.0,,Full-time,8-10,31-35,Female,No,UG:American University of Sharjah,"Grad:University of California, Los Angeles (UCLA)",,Jul '24
19977,4,"76,500",peryear,"Atlanta, GA, US",Intermediate Designer,Corporate,201-500 People,Yes,Unpaid Overtime,,550,Full-time,3-5,26-30,Male,No,UG:Kennesaw State University,,,Jul '24
19975,7,"140,000",peryear,"Sioux Falls, SD, US",Principal,,201-500 People,Yes,,,"12,000",Full-time,11-15,41-45,Gender: Other,Licensed,,,,Jul '24
19974,9,"80,080",peryear,"Seattle, WA, US",Intermediate Architect,Corporate,11-15 People,Yes,Paid Overtime,21.0,0,Full-time,6-7,26-30,Male,Licensed,UG:Arizona State University,Grad:Tulane University,,Jul '24
19973,5,"100,000",peryear,"Abilene, TX, US",Principal,,2-5 People,Yes,,15.0,"10,000",,11-15,41-45,Male,Licensed,,Grad:The University of Texas at Austin,,Jul '24
19972,8,"57,000",peryear,"Columbus, OH, US",Intermediate Architect,Individual,51-100 People,Yes,Paid Overtime,21.0,800,Full-time,2,21-25,Female,No,UG:Kent State University,,,Jul '24
19971,7,"84,000",peryear,"Ridgway, CO, US",Owner,Boutique,2-5 People,,,,,Full-time,3-5,26-30,Male,Licensed,,Grad:Kansas State University,,Jul '24
19970,8,"80,000",peryear,"New York, NY, US",Associate,Starchitect,101-200 People,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,UG:University at Buffalo,,,Jul '24
19968,8,"112,000",peryear,"Seattle, WA, US",Designer,Corporate,51-100 People,Yes,No Overtime,14.0,"8,000",Full-time,8-10,31-35,Male,No,UG:Illinois Institute of Technology (IIT),,,Jul '24
19967,7,"100,000",peryear,"Los Angeles, CA, US",Project Architect,Corporate,501 + People,Yes,No Overtime,,"5,000",Full-time,6-7,31-35,Male,Licensed,UG:University of Southern California (USC),,,Jul '24
19966,9,"76,000",peryear,"Phoenix, AZ, US",Project Manager,Individual,2-5 People,Yes,Paid Overtime,10.0,"10,000",Full-time,3,26-30,Male,No,UG:Arizona State University,,,Jul '24
19965,10,"93,000",peryear,"Washington, US",Intermediate Designer,,501 + People,Yes,,,,Full-time,3-5,26-30,Male,No,UG:The Pennsylvania State University (Penn State),,,Jul '24
19964,6,"100,000",peryear,"New York, NY, US",Owner,Corporate,501 + People,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,UG:New York Institute of Technology (NYIT),,,Jul '24
19963,6,"100,000",peryear,"New York, NY, US",Owner,Corporate,501 + People,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,,,,Jul '24
19962,4,"88,000",peryear,"Portland, OR, US",Senior Designer,,201-500 People,,,,,,11-15,36-40,Female,No,,,,Jul '24
19961,5,"109,000",peryear,"Charlottesville, VA, US",Project Manager,,501 + People,Yes,No Overtime,,,Full-time,21-25,46-50,Male,Licensed,,,,Jul '24
19960,7,"62,000",peryear,"Des Moines, IA, US",Designer,,6-10 People,,,,,,2,36-40,Male,No,,Grad:Iowa State University,,Jul '24
19959,6,"77,000",peryear,"San Francisco, CA, US",Designer,,16-30 People,Yes,,,,,2,31-35,Female,No,,,,Jul '24
19958,6,"74,880",peryear,"Detroit, MI, US",Designer,Corporate,201-500 People,,No Overtime,15.0,"3,000",Full-time,6-7,26-30,Female,No,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19957,6,"68,000",peryear,"New York, NY, US",Designer,Starchitect,101-200 People,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,UG:Mississippi State University,Grad:Cranbrook Academy of Art,,Jul '24
19956,6,"87,500",peryear,"San Francisco, CA, US",Designer,Boutique,6-10 People,,No Overtime,8.0,,Full-time,6-7,36-40,Female,No,UG:California College of the Arts,,,Jul '24
19955,5,"50,000",peryear,"Portland, OR, US",Designer,,11-15 People,,,,,,3,26-30,Male,No,,,,Jul '24
19954,7,"67,500",peryear,"Salem, MA, US",Designer,Boutique,16-30 People,Yes,Unpaid Overtime,14.0,"3,000",Full-time,3-5,26-30,Female,No,UG:Wentworth Institute of Technology,Grad:Wentworth Institute of Technology,,Jul '24
19953,5,"69,400",peryear,"Kansas City, MO, US",Designer,Corporate,501 + People,Yes,Paid Overtime,,,Full-time,1,26-30,Female,No,,,,Jul '24
19952,8,"105,000",peryear,"Wisconsin, US",Project Manager,Individual,51-100 People,Yes,No Overtime,,,Full-time,8-10,31-35,Male,No,,,,Jul '24
19951,6,"88,000",peryear,"Austin, TX, US",Designer,Other,51-100 People,Yes,Unpaid Overtime,15.0,"7,000",Full-time,6-7,36-40,Male,No,UG:University of Wisconsin-Milwaukee,Grad:University of Michigan,,Jul '24
19950,3,"150,000",peryear,"New York, NY, US",Interior Designer,Other,101-200 People,Yes,No Overtime,10.0,"10,000",Full-time,31-40,51-55,Female,Licensed,UG:University of Cincinnati,,,Jul '24
19949,6,"55,000",peryear,"Austin, TX, US",Designer,Corporate,501 + People,Yes,,15.0,,Full-time,2,26-30,Female,No,UG:Texas A&M University,Grad:Texas A&M University,,Jul '24
19947,8,"109,000",peryear,"Omaha, NE, US",Project Manager,Corporate,31-50 People,Yes,No Overtime,15.0,"27,000",Full-time,16-20,36-40,Male,Licensed,UG:University of Nebraska-Lincoln,,,Jul '24
19944,9,"63,250",peryear,"Washington, DC, US",Interior Architect,Corporate,201-500 People,Yes,Unpaid Overtime,,"2,000",Full-time,< 1,26-30,Female,No,UG:George Washington University,Grad:George Washington University,,Jul '24
19942,9,"110,000",peryear,"Chicago, IL, US",Senior Architect,Corporate,51-100 People,Yes,Unpaid Overtime,32.0,"5,000",Full-time,21-25,51-55,Male,Licensed,UG:University of Detroit Mercy,,,Jul '24
19941,6,"75,000",peryear,"Washington, DC, US",Interior Architect,,11-15 People,Yes,,,,,1,26-30,Female,No,,,,Jul '24
19940,7,"85,000",peryear,"New York, NY, US",Project Architect,Boutique,2-5 People,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,Licensed,UG:Cornell University,,,Jul '24
19939,8,"106,000",peryear,"New York, NY, US",Senior Architect,,101-200 People,,,,,,8-10,36-40,Male,No,,,,Jul '24
19938,6,22,perhour,"San Francisco, CA, US",Junior Architect,,6-10 People,,,,,,1,21-25,Male,No,,,,Jul '24
19937,7,17,perhour,"Boston, MA, US",Intern,,2-5 People,,,,,,< 1,18-20,Female,No,,,,Jul '24
19936,6,20,perhour,"San Antonio, TX, US",Junior Designer,Individual,2-5 People,,Unpaid Overtime,15.0,"2,300",Full-time,2,26-30,Male,No,UG:University of Texas at San Antonio,,,Jul '24
19935,3,"80,000",peryear,"Charlotte, NC, US",Project Architect,Boutique,16-30 People,Yes,Unpaid Overtime,14.0,"2,000",Full-time,8-10,31-35,Female,Licensed,UG:University of Florida,Grad:University of North Carolina at Charlotte,,Jul '24
19934,10,"130,000",peryear,"San Antonio, TX, US",Senior Architect,Other,501 + People,Yes,No Overtime,25.0,"13,000",Full-time,8-10,31-35,Male,Licensed,,,,Jul '24
19933,8,"82,800",peryear,"Minnesota, US",Intermediate Architect,Corporate,201-500 People,Yes,No Overtime,20.0,"1,000",Full-time,3-5,31-35,Male,Licensed,,,,Jul '24
19932,8,"225,000",peryear,"New York, NY, US",Senior Architect,Other,11-15 People,Yes,,15.0,,Full-time,21-25,56-60,Male,Licensed,UG:University of Illinois Chicago,Grad:Pratt Institute,,Jul '24
19931,6,"78,500",peryear,"Austin, TX, US",Intermediate Designer,Other,11-15 People,Yes,Unpaid Overtime,20.0,"10,000",Full-time,3-5,26-30,Male,No,UG:University of Dallas,,,Jul '24
19930,10,"110,000",peryear,"Los Angeles, CA, US",Associate,Corporate,501 + People,Yes,Unpaid Overtime,,,Full-time,8-10,36-40,Female,Licensed,,,,Jul '24
19928,8,"118,000",peryear,"San Francisco, CA, US",Project Manager,Boutique,31-50 People,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,31-35,Male,Licensed,,,,Jul '24
19927,8,"108,000",peryear,"Detroit, MI, US",Senior Architect,Boutique,51-100 People,Yes,Unpaid Overtime,18.0,"2,000",Full-time,8-10,31-35,Male,Licensed,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19925,8,"50,000",peryear,"Detroit, MI, US",Designer,,2-5 People,,No Overtime,,"1,000",Full-time,2,21-25,Female,No,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19922,6,"69,000",peryear,"New York, NY, US",Junior Designer,Corporate,501 + People,Yes,Unpaid Overtime,15.0,"3,000",Full-time,3,26-30,Female,No,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19921,6,74,peryear,"Birmingham, MI, US",Project Architect,Boutique,2-5 People,,Paid Overtime,15.0,,Part-time,8-10,36-40,Male,No,,,,Jul '24
19920,10,18,perhour,"Detroit, MI, US",Intern,Corporate,51-100 People,,Paid Overtime,,,Full-time,2,21-25,Female,No,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19919,8,"225,000",peryear,"Seattle, WA, US",Principal,Corporate,51-100 People,Yes,Unpaid Overtime,25.0,"10,000",Full-time,16-20,41-45,Female,Licensed,UG:Washington State University,,,Jul '24
19918,8,"125,000",peryear,"New York, NY, US",Project Manager,Corporate,501 + People,Yes,No Overtime,30.0,"13,000",Full-time,3-5,31-35,Female,No,,Grad:Yale University,,Jul '24
19916,6,"61,000",peryear,"Asbury Park, NJ, US",Associate,,6-10 People,Yes,,,,,3-5,31-35,Female,No,,,,Jul '24
19915,7,"85,000",peryear,"Los Angeles, CA, US",Project Manager,Individual,2-5 People,Yes,No Overtime,10.0,"2,500",Full-time,8-10,31-35,Male,No,,,,Jul '24
19914,8,"130,000",peryear,"Chicago, IL, US",Associate,,51-100 People,,,,,,16-20,41-45,Female,No,,,,Jul '24
19913,7,"74,000",peryear,"Detroit, MI, US",Designer,Corporate,51-100 People,Yes,Paid Overtime,21.0,"2,000",Full-time,3-5,21-25,Female,No,UG:University of Detroit Mercy,Grad:University of Detroit Mercy,,Jul '24
19911,5,"72,000",peryear,"Minneapolis, MN, US",Designer,Boutique,6-10 People,Yes,Unpaid Overtime,12.0,"1,000",Full-time,6-7,31-35,Male,No,UG:South Dakota State University,Grad:South Dakota State University,,Jul '24
19910,8,"73,500",peryear,"Washington, DC, US",Job Captain,Corporate,201-500 People,Yes,Paid Overtime,15.0,"3,000",Full-time,6-7,31-35,Female,No,,,,Jul '24
19909,8,"83,678",peryear,"Washington, DC, US",Associate,Corporate,501 + People,Yes,,21.0,"1,800",Full-time,6-7,26-30,Male,Licensed,UG:Northeastern University,Grad:Northeastern University,,Jul '24
19907,7,"87,360",peryear,"Detroit, MI, US",Project Architect,Corporate,101-200 People,Yes,Paid Overtime,15.0,"6,000",Full-time,8-10,31-35,Female,Licensed,UG:University of Michigan,Grad:University of Michigan,,Jul '24
19906,5,"150,000",peryear,"Washington, DC, US",BIM Specialist,,51-100 People,Yes,,,,,11-15,51-55,Male,No,,,,Jul '24
19905,7,"55,000",peryear,"Bentonville, AR, US",Junior Designer,Corporate,31-50 People,Yes,Unpaid Overtime,,500,Full-time,1,21-25,Female,No,UG:University of Arkansas,,,Jul '24
19904,7,"57,500",peryear,"Bentonville, AR, US",Junior Designer,Corporate,31-50 People,Yes,Unpaid Overtime,10.0,"2,000",Full-time,3-5,26-30,Gender: Other,No,UG:University of Arkansas,,,Jul '24
19903,8,"115,000",peryear,"New York, NY, US",Designer,Corporate,201-500 People,Yes,Paid Overtime,,,Full-time,8-10,31-35,Male,No,UG:University of North Carolina at Greensboro,Grad:University of North Carolina at Charlotte,,Jul '24
19902,9,"59,000",peryear,"Chicago, IL, US",Junior Architect,Corporate,31-50 People,,Unpaid Overtime,10.0,"4,000",Full-time,1,21-25,Male,No,UG:University of Detroit Mercy,,,Jul '24
19901,5,"47,000",peryear,"Rogers, AR, US",Designer,Other,16-30 People,Yes,Unpaid Overtime,,,Full-time,1,21-25,Female,No,UG:University of Arkansas,,,Jul '24
19900,6,120,peryear,"Philadelphia, PA, US",Associate,Other,51-100 People,Yes,Unpaid Overtime,16.0,"15,000",Full-time,11-15,36-40,Female,Licensed,,,,Jul '24
19899,9,"65,800",peryear,"Detroit, MI, US",Designer,Corporate,201-500 People,Yes,Unpaid Overtime,16.0,"5,100",Full-time,6-7,31-35,Female,No,UG:University of Illinois at Urbana-Champaign,Grad:University of Michigan,,Jul '24
